32285, the Ville, 스마게 디자인 하우스, Latoya Williams's room, sp-A
32295, the Ville, 스마게 디자인 하우스, Rajiv Patel's room, sp-A
32305, the Ville, 스마게 디자인 하우스, Rajiv Patel's room, sp-B
32315, the Ville, 스마게 디자인 하우스, 에이브라햄 링컨, sp-A
32286, the Ville, 스마게 디자인 하우스, Francisco Lopez's room, sp-A
32296, the Ville, 스마게 디자인 하우스, Hailey Johnson's room, sp-A
32306, the Ville, 나폴레옹 보나파르트의 아파트, 안방, sp-A
32316, the Ville, 나폴레옹 보나파르트의 아파트, 안방, sp-B
32287, the Ville, Ryan Park's apartment, main room, sp-A
32297, the Ville, Ryan Park's apartment, main room, sp-B
32307, the Ville, 호식 맨션, 안방, sp-A
32317, the Ville, 호식 맨션, 안방, sp-B
32288, the Ville, Giorgio Rossi's apartment, main room, sp-A
32298, the Ville, Giorgio Rossi's apartment, main room, sp-B
32308, the Ville, Carlos Gomez's apartment, main room, sp-A
32318, the Ville, Carlos Gomez's apartment, main room, sp-B
32289, the Ville, 아담 스미스의 집, 안방, sp-A
32299, the Ville, 아담 스미스의 집, 안방, sp-B
32309, the Ville, Yuriko Yamamoto's house, main room, sp-A
32319, the Ville, Yuriko Yamamoto's house, main room, sp-B
32290, the Ville, Moore family's house, main room, sp-A
32300, the Ville, Moore family's house, main room, sp-B
32310, the Ville, 클레오 파트라와 아이작 뉴턴의 집, 클레오 파트라의 방, sp-A
32320, the Ville, 클레오 파트라와 아이작 뉴턴의 집, 클레오 파트라의 방, sp-B
32291, the Ville, 클레오 파트라와 아이작 뉴턴의 집, 아이작 뉴턴의 집, sp-A
32301, the Ville, 클레오 파트라와 아이작 뉴턴의 집, 아이작 뉴턴의 집, sp-B
32311, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-A
32321, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-B
32292, the Ville, Moreno family's house, empty bedroom, sp-A
32302, the Ville, Moreno family's house, empty bedroom, sp-B
32312, the Ville, Lin family's house, Mei and John Lin's bedroom, sp-A
32322, the Ville, Lin family's house, Mei and John Lin's bedroom, sp-B
32293, the Ville, Lin family's house, Eddy Lin's bedroom, sp-A
32303, the Ville, Lin family's house, Eddy Lin's bedroom, sp-B
32313, the Ville, 스마게 대학교 기숙사, 레오나르도 다빈치의 방, sp-A
32323, the Ville, 스마게 대학교 기숙사, 레오나르도 다빈치의 방, sp-B
32294, the Ville, 스마게 대학교 기숙사, 일론 머스크의 방, sp-A
32304, the Ville, 스마게 대학교 기숙사, Ayesha Khan's room, sp-A
32314, the Ville, 스마게 대학교 기숙사, Ayesha Khan's room, sp-B
32324, the Ville, 스마게 대학교 기숙사, Wolfgang Schulz's room, sp-A
