32138, the Ville, 스마게 디자인 하우스, Latoya Williams's room
32148, the Ville, 스마게 디자인 하우스, Latoya Williams's bathroom
32158, the Ville, 스마게 디자인 하우스, Rajiv Patel's room
32168, the Ville, 스마게 디자인 하우스, Rajiv Patel's bathroom
32178, the Ville, 스마게 디자인 하우스, 에이브라햄 링컨의 방
32188, the Ville, 스마게 디자인 하우스, 에이브라햄 링컨의 화장실
32198, the Ville, 스마게 디자인 하우스, Francisco Lopez's room
32139, the Ville, 스마게 디자인 하우스, Francisco Lopez's bathroom
32149, the Ville, 스마게 디자인 하우스, Hailey Johnson's room
32159, the Ville, 스마게 디자인 하우스, Hailey Johnson's bathroom
32179, the Ville, 스마게 디자인 하우스, 공용공간
32189, the Ville, 스마게 디자인 하우스, 부엌
32199, the Ville, 나폴레옹 보나파르트의 아파트, 안방
32140, the Ville, 나폴레옹 보나파르트의 아파트, 화장실
32150, the Ville, Ryan Park's apartment, main room
32160, the Ville, Ryan Park's apartment, bathroom
32170, the Ville, 호식 맨션, 안방
32180, the Ville, 호식 맨션, 화장실
32190, the Ville, Giorgio Rossi's apartment, main room
32200, the Ville, Giorgio Rossi's apartment, bathroom
32141, the Ville, Carlos Gomez's apartment, main room
32151, the Ville, Carlos Gomez's apartment, bathroom
32161, the Ville, 스마게 주점, 주점
32171, the Ville, Hosik Cafe, cafe
32181, the Ville, 스마게 대학교, 교실
32191, the Ville, 스마게 대학교, 도서관
32201, the Ville, 스마게 대학교, 복도
32142, the Ville, 중앙공원, 광장
32152, the Ville, 스마게 매점, 매점
32162, the Ville, 스마게 약국, 약국
32193, the Ville, 아담 스미스의 집, 안방
32203, the Ville, 아담 스미스의 집, 화장실
32174, the Ville, Yuriko Yamamoto's house, main room
32184, the Ville, Yuriko Yamamoto's house, bathroom
32194, the Ville, Moore family's house, main room
32204, the Ville, Moore family's house, bathroom
32172, the Ville, 스마게 대학교 기숙사, 레오나르도 다빈치의 방
32182, the Ville, 스마게 대학교 기숙사, 일론 머스크의 방
32192, the Ville, 스마게 대학교 기숙사, Ayesha Khan's room
32202, the Ville, 스마게 대학교 기숙사, Wolfgang Schulz's room
32143, the Ville, 스마게 대학교 기숙사, 남자 화장실
32153, the Ville, 스마게 대학교 기숙사, 여자 화장실
32163, the Ville, 스마게 대학교 기숙사, 휴게실
32173, the Ville, 스마게 대학교 기숙사, 부엌
32183, the Ville, 스마게 대학교 기숙사, 정원
32205, the Ville, 클레오 파트라와 아이작 뉴턴의 집, 클레오 파트라의 방
32215, the Ville, 클레오 파트라와 아이작 뉴턴의 집, 아이작 뉴턴의 방
32225, the Ville, 클레오 파트라와 아이작 뉴턴의 집, 거실
32235, the Ville, 클레오 파트라와 아이작 뉴턴의 집, 부엌
32245, the Ville, 클레오 파트라와 아이작 뉴턴의 집, 화장실
32255, the Ville, 클레오 파트라와 아이작 뉴턴의 집, 정원
32265, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom
32275, the Ville, Moreno family's house, empty bedroom
32206, the Ville, Moreno family's house, common room
32216, the Ville, Moreno family's house, kitchen
32226, the Ville, Moreno family's house, bathroom
32236, the Ville, Moreno family's house, garden
32246, the Ville, Lin family's house, Mei and John Lin's bedroom
32256, the Ville, Lin family's house, Eddy Lin's bedroom
32266, the Ville, Lin family's house, common room
32276, the Ville, Lin family's house, kitchen
32207, the Ville, Lin family's house, bathroom
32217, the Ville, Lin family's house, garden
